,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1,0.4766666666666667,0.23076923076923078,0.02,tensor(0.0533),tensor(0.1133),3,10,140,147
1,2,0.47,0.3333333333333333,0.06,tensor(0.0600),tensor(0.1200),9,18,132,141
2,3,0.47,0.37142857142857144,0.08666666666666667,tensor(0.1133),tensor(0.1467),13,22,128,137
3,4,0.4866666666666667,0.46875,0.2,tensor(0.3067),tensor(0.3200),30,34,116,120
4,5,0.49,0.48314606741573035,0.2866666666666667,tensor(0.3733),tensor(0.3600),43,46,104,107
5,6,0.49666666666666665,0.4954128440366973,0.36,tensor(0.4067),tensor(0.4067),54,55,95,96
6,7,0.56,0.5661764705882353,0.5133333333333333,tensor(0.4733),tensor(0.4400),77,59,91,73
7,8,0.55,0.5477707006369427,0.5733333333333334,tensor(0.5133),tensor(0.5267),86,71,79,64
8,9,0.5666666666666667,0.5581395348837209,0.64,tensor(0.5867),tensor(0.5333),96,76,74,54
9,10,0.5733333333333334,0.5591397849462365,0.6933333333333334,tensor(0.6267),tensor(0.5467),104,82,68,46
10,11,0.6033333333333334,0.5794871794871795,0.7533333333333333,tensor(0.6667),tensor(0.5533),113,82,68,37
11,12,0.5966666666666667,0.5714285714285714,0.7733333333333333,tensor(0.6733),tensor(0.6000),116,87,63,34
12,13,0.61,0.5767441860465117,0.8266666666666667,tensor(0.6733),tensor(0.5867),124,91,59,26
13,14,0.6166666666666667,0.5806451612903226,0.84,tensor(0.7000),tensor(0.5933),126,91,59,24
14,15,0.6333333333333333,0.5909090909090909,0.8666666666666667,tensor(0.7267),tensor(0.5867),130,90,60,20
15,16,0.6266666666666667,0.5863636363636363,0.86,tensor(0.7733),tensor(0.6067),129,91,59,21
16,17,0.6333333333333333,0.5892857142857143,0.88,tensor(0.7800),tensor(0.6067),132,92,58,18
17,18,0.63,0.5866666666666667,0.88,tensor(0.7933),tensor(0.6200),132,93,57,18
18,19,0.6566666666666666,0.6035242290748899,0.9133333333333333,tensor(0.8067),tensor(0.6200),137,90,60,13
19,20,0.6366666666666667,0.5903083700440529,0.8933333333333333,tensor(0.8400),tensor(0.6333),134,93,57,16
20,21,0.63,0.5836909871244635,0.9066666666666666,tensor(0.8600),tensor(0.6200),136,97,53,14
21,22,0.6433333333333333,0.5938864628820961,0.9066666666666666,tensor(0.8600),tensor(0.6133),136,93,57,14
22,23,0.6466666666666666,0.5932203389830508,0.9333333333333333,tensor(0.8667),tensor(0.6333),140,96,54,10
23,24,0.6633333333333333,0.6051502145922747,0.94,tensor(0.8667),tensor(0.6267),141,92,58,9
24,25,0.65,0.5941422594142259,0.9466666666666667,tensor(0.8867),tensor(0.6333),142,97,53,8
25,26,0.65,0.5941422594142259,0.9466666666666667,tensor(0.8867),tensor(0.6400),142,97,53,8
26,27,0.6533333333333333,0.5982905982905983,0.9333333333333333,tensor(0.8933),tensor(0.6267),140,94,56,10
27,28,0.6633333333333333,0.602510460251046,0.96,tensor(0.8933),tensor(0.6267),144,95,55,6
28,29,0.6466666666666666,0.5901639344262295,0.96,tensor(0.9000),tensor(0.6333),144,100,50,6
29,30,0.65,0.5933609958506224,0.9533333333333334,tensor(0.9200),tensor(0.6400),143,98,52,7
30,31,0.6433333333333333,0.5877551020408164,0.96,tensor(0.9600),tensor(0.6733),144,101,49,6
31,32,0.67,0.606694560669456,0.9666666666666667,tensor(0.9667),tensor(0.6267),145,94,56,5
32,33,0.6466666666666666,0.5901639344262295,0.96,tensor(0.9600),tensor(0.6667),144,100,50,6
33,34,0.65,0.5918367346938775,0.9666666666666667,tensor(0.9667),tensor(0.6667),145,100,50,5
34,35,0.67,0.6075949367088608,0.96,tensor(0.9600),tensor(0.6200),144,93,57,6
