,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1,0.4766666666666667,0.23076923076923078,0.02,tensor(0.0533),tensor(0.1133),3,10,140,147
1,2,0.47,0.3333333333333333,0.06,tensor(0.0600),tensor(0.1200),9,18,132,141
2,3,0.47,0.3448275862068966,0.06666666666666667,tensor(0.0600),tensor(0.1200),10,19,131,140
3,4,0.4766666666666667,0.4186046511627907,0.12,tensor(0.2333),tensor(0.2667),18,25,125,132
4,5,0.49,0.48,0.24,tensor(0.3267),tensor(0.3400),36,39,111,114
5,6,0.4866666666666667,0.47959183673469385,0.31333333333333335,tensor(0.3933),tensor(0.3867),47,51,99,103
6,7,0.5266666666666666,0.5338983050847458,0.42,tensor(0.4467),tensor(0.4333),63,55,95,87
7,8,0.57,0.5766423357664233,0.5266666666666666,tensor(0.5133),tensor(0.4600),79,58,92,71
8,9,0.5566666666666666,0.5502958579881657,0.62,tensor(0.5333),tensor(0.5067),93,76,74,57
9,10,0.57,0.5573770491803278,0.68,tensor(0.5800),tensor(0.5600),102,81,69,48
10,11,0.5833333333333334,0.5654450261780105,0.72,tensor(0.6267),tensor(0.5867),108,83,67,42
11,12,0.57,0.5538461538461539,0.72,tensor(0.6867),tensor(0.5933),108,87,63,42
12,13,0.58,0.5612244897959183,0.7333333333333333,tensor(0.7000),tensor(0.6067),110,86,64,40
13,14,0.5766666666666667,0.5577889447236181,0.74,tensor(0.7067),tensor(0.6133),111,88,62,39
14,15,0.5866666666666667,0.5625,0.78,tensor(0.7467),tensor(0.6133),117,91,59,33
15,16,0.6066666666666667,0.5740740740740741,0.8266666666666667,tensor(0.7733),tensor(0.6200),124,92,58,26
16,17,0.6233333333333333,0.5829596412556054,0.8666666666666667,tensor(0.8200),tensor(0.6267),130,93,57,20
17,18,0.6266666666666667,0.5848214285714286,0.8733333333333333,tensor(0.8267),tensor(0.6267),131,93,57,19
18,19,0.63,0.5851528384279476,0.8933333333333333,tensor(0.8467),tensor(0.6333),134,95,55,16
19,20,0.6433333333333333,0.5930735930735931,0.9133333333333333,tensor(0.8533),tensor(0.6333),137,94,56,13
20,21,0.6466666666666666,0.594017094017094,0.9266666666666666,tensor(0.8733),tensor(0.6267),139,95,55,11
21,22,0.6466666666666666,0.594017094017094,0.9266666666666666,tensor(0.8733),tensor(0.6200),139,95,55,11
22,23,0.66,0.6025641025641025,0.94,tensor(0.8733),tensor(0.6200),141,93,57,9
23,24,0.6566666666666666,0.6,0.94,tensor(0.8867),tensor(0.6200),141,94,56,9
24,25,0.66,0.6016949152542372,0.9466666666666667,tensor(0.9000),tensor(0.6200),142,94,56,8
25,26,0.6566666666666666,0.5991561181434599,0.9466666666666667,tensor(0.9067),tensor(0.6267),142,95,55,8
26,27,0.6633333333333333,0.602510460251046,0.96,tensor(0.9133),tensor(0.6200),144,95,55,6
27,28,0.66,0.6,0.96,tensor(0.9200),tensor(0.6200),144,96,54,6
28,29,0.6633333333333333,0.602510460251046,0.96,tensor(0.9333),tensor(0.6200),144,95,55,6
29,30,0.67,0.6058091286307054,0.9733333333333334,tensor(0.9467),tensor(0.6200),146,95,55,4
30,31,0.6733333333333333,0.6074380165289256,0.98,tensor(0.9800),tensor(0.6333),147,95,55,3
31,32,0.67,0.6049382716049383,0.98,tensor(0.9800),tensor(0.6400),147,96,54,3
32,33,0.6633333333333333,0.6,0.98,tensor(0.9800),tensor(0.6533),147,98,52,3
33,34,0.6633333333333333,0.6008230452674898,0.9733333333333334,tensor(0.9733),tensor(0.6467),146,97,53,4
34,35,0.66,0.5983606557377049,0.9733333333333334,tensor(0.9733),tensor(0.6533),146,98,52,4
35,36,0.6666666666666666,0.6016260162601627,0.9866666666666667,tensor(0.9867),tensor(0.6533),148,98,52,2
